"filename", "language", "JavaScript", "Markdown", "YAML", "Shell Script", "JSON", "JSON with Comments", "CSS", "TypeScript", "TypeScript JSX", "Ignore", "comment", "blank", "total"
"/Users/paul/development/src/github/raikou/build.sh", "Shell Script", 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2
"/Users/paul/development/src/github/raikou/buildClient.sh", "Shell Script", 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 1, 0, 32
"/Users/paul/development/src/github/raikou/buildServer.sh", "Shell Script", 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 1, 0, 32
"/Users/paul/development/src/github/raikou/clean-package.config.json", "JSON", 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 1, 16
"/Users/paul/development/src/github/raikou/commitlint.config.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/paul/development/src/github/raikou/configuration/jest/global-setup.js", "JavaScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/paul/development/src/github/raikou/configuration/jest/jsdom.mocks.js", "JavaScript", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 27
"/Users/paul/development/src/github/raikou/configuration/types/webpack-overrides.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 1, 16
"/Users/paul/development/src/github/raikou/jest.config.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 15
"/Users/paul/development/src/github/raikou/package.json", "JSON", 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 80, 0, 112
"/Users/paul/development/src/github/raikou/packages/postcss-removecss-raikou/.eslintrc.js", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"/Users/paul/development/src/github/raikou/packages/postcss-removecss-raikou/.prettierignore", "Ignore", 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 3
"/Users/paul/development/src/github/raikou/packages/postcss-removecss-raikou/.prettierrc", "JSON", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 1, 7
"/Users/paul/development/src/github/raikou/packages/postcss-removecss-raikou/README.md", "Markdown", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 35
"/Users/paul/development/src/github/raikou/packages/postcss-removecss-raikou/jest.config.js", "JavaScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 5
"/Users/paul/development/src/github/raikou/packages/postcss-removecss-raikou/package.json", "JSON", 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 1, 53
"/Users/paul/development/src/github/raikou/packages/postcss-removecss-raikou/src/index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 3, 12
"/Users/paul/development/src/github/raikou/packages/postcss-removecss-raikou/src/postcss-reset.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 90, 0, 0, 7, 25, 122
"/Users/paul/development/src/github/raikou/packages/postcss-removecss-raikou/src/tests/body.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 4, 3, 29
"/Users/paul/development/src/github/raikou/packages/postcss-removecss-raikou/src/tests/replace-css.test.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 63, 0, 0, 0, 4, 67
"/Users/paul/development/src/github/raikou/packages/postcss-removecss-raikou/src/tests/utils.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 2, 7
"/Users/paul/development/src/github/raikou/packages/postcss-removecss-raikou/tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 2, 0, 16
"/Users/paul/development/src/github/raikou/packages/raikou/carousel/dist/index.d.mts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 76, 0, 0, 30, 6, 112
"/Users/paul/development/src/github/raikou/packages/raikou/carousel/dist/index.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 76, 0, 0, 30, 6, 112
"/Users/paul/development/src/github/raikou/packages/raikou/carousel/dist/index.js", "JavaScript", 513, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 16, 549
"/Users/paul/development/src/github/raikou/packages/raikou/carousel/dist/index.mjs", "JavaScript", 511, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 15, 540
"/Users/paul/development/src/github/raikou/packages/raikou/carousel/package.json", "JSON", 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 26, 0, 44
"/Users/paul/development/src/github/raikou/packages/raikou/carousel/src/Carousel.context.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 3, 14
"/Users/paul/development/src/github/raikou/packages/raikou/carousel/src/Carousel.plugin.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 184, 0, 0, 0, 30, 214
"/Users/paul/development/src/github/raikou/packages/raikou/carousel/src/Carousel.story.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 155, 0, 0, 16, 171
"/Users/paul/development/src/github/raikou/packages/raikou/carousel/src/Carousel.test.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 90, 0, 0, 12, 102
"/Users/paul/development/src/github/raikou/packages/raikou/carousel/src/Carousel.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 349, 0, 33, 58, 440
"/Users/paul/development/src/github/raikou/packages/raikou/carousel/src/CarouselSlide/CarouselSlide.test.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 5, 38
"/Users/paul/development/src/github/raikou/packages/raikou/carousel/src/CarouselSlide/CarouselSlide.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 9, 49
"/Users/paul/development/src/github/raikou/packages/raikou/carousel/src/CarouselVariables/CarouselVariables.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 54, 0, 0, 11, 65
"/Users/paul/development/src/github/raikou/packages/raikou/carousel/src/get-chevron-rotation.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 3, 14
"/Users/paul/development/src/github/raikou/packages/raikou/carousel/src/index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 2, 13
"/Users/paul/development/src/github/raikou/packages/raikou/carousel/src/use-animation-offset-effect.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 2, 16
"/Users/paul/development/src/github/raikou/packages/raikou/carousel/tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 1, 12
"/Users/paul/development/src/github/raikou/packages/raikou/client/dist/index.d.mts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 60, 0, 0, 0, 1, 61
"/Users/paul/development/src/github/raikou/packages/raikou/client/dist/index.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 60, 0, 0, 0, 1, 61
"/Users/paul/development/src/github/raikou/packages/raikou/client/dist/index.js", "JavaScript", 140, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 144
"/Users/paul/development/src/github/raikou/packages/raikou/client/dist/index.mjs", "JavaScript", 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 64
"/Users/paul/development/src/github/raikou/packages/raikou/client/package.json", "JSON", 0, 0, 0, 0, 103, 0, 0, 0, 0, 0, 4, 1, 108
"/Users/paul/development/src/github/raikou/packages/raikou/client/src/index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 61, 0, 0, 0, 2, 63
"/Users/paul/development/src/github/raikou/packages/raikou/client/tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 1, 5
"/Users/paul/development/src/github/raikou/packages/raikou/code-highlight/dist/index.d.mts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 75, 0, 0, 23, 5, 103
"/Users/paul/development/src/github/raikou/packages/raikou/code-highlight/dist/index.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 75, 0, 0, 23, 5, 103
"/Users/paul/development/src/github/raikou/packages/raikou/code-highlight/dist/index.js", "JavaScript", 5293, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 84, 5477
"/Users/paul/development/src/github/raikou/packages/raikou/code-highlight/dist/index.mjs", "JavaScript", 5342, 0, 0, 0, 0, 0, 0, 0, 0, 0, 94, 83, 5519
"/Users/paul/development/src/github/raikou/packages/raikou/code-highlight/package.json", "JSON", 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 26, 0, 43
"/Users/paul/development/src/github/raikou/packages/raikou/code-highlight/src/CodeHighlight.plugin.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 166, 0, 0, 0, 27, 193
"/Users/paul/development/src/github/raikou/packages/raikou/code-highlight/src/CodeHighlight.story.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 249, 0, 0, 9, 258
"/Users/paul/development/src/github/raikou/packages/raikou/code-highlight/src/CodeHighlight.test.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 5, 41
"/Users/paul/development/src/github/raikou/packages/raikou/code-highlight/src/CodeHighlight.theme.plugin.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 67, 0, 0, 0, 13, 80
"/Users/paul/development/src/github/raikou/packages/raikou/code-highlight/src/CodeHighlight.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 105, 0, 9, 17, 131
"/Users/paul/development/src/github/raikou/packages/raikou/code-highlight/src/CodeHighlightTabs.test.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 3, 43
"/Users/paul/development/src/github/raikou/packages/raikou/code-highlight/src/CodeHighlightTabs.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 241, 0, 18, 35, 294
"/Users/paul/development/src/github/raikou/packages/raikou/code-highlight/src/CopyIcon.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 4, 38
"/Users/paul/development/src/github/raikou/packages/raikou/code-highlight/src/ExpandIcon.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 3, 43
"/Users/paul/development/src/github/raikou/packages/raikou/code-highlight/src/FileIcon.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 5, 30
"/Users/paul/development/src/github/raikou/packages/raikou/code-highlight/src/InlineCodeHighlight.test.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 3, 29
"/Users/paul/development/src/github/raikou/packages/raikou/code-highlight/src/InlineCodeHighlight.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 71, 0, 2, 11, 84
"/Users/paul/development/src/github/raikou/packages/raikou/code-highlight/src/index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 1, 21
"/Users/paul/development/src/github/raikou/packages/raikou/code-highlight/src/use-highlight.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 6, 31
"/Users/paul/development/src/github/raikou/packages/raikou/code-highlight/tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 1, 5
"/Users/paul/development/src/github/raikou/packages/raikou/colors-generator/dist/index.d.mts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 3, 23
"/Users/paul/development/src/github/raikou/packages/raikou/colors-generator/dist/index.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 3, 23
